"","pid","date","condition","tstamp","uid","opens","consumetime","newtweets","compose","reply","likes","retweet","follow","unfollow","statPageView","dialogExit","dialogIgnore","avgAttentionScore","logAtnScore","consumetimeHours"
"148","pilot28","05/04","1",1.62017e+15,"7bed5cb1d6911cce9243412437cb7aa8",8,441,60,0,0,2,0,0,0,1,0,0,1,0,0.1225
"149","pilot28","05/06","3",1.62036e+15,"7bed5cb1d6911cce9243412437cb7aa8",6,282,111,0,0,0,0,0,0,0,0,0,1,0,0.0783333333333333
"150","pilot28","05/08","3",1620533155163012,"7bed5cb1d6911cce9243412437cb7aa8",3,280,83,0,0,0,0,0,0,0,0,0,5,1.6094379124341,0.0777777777777778
"151","pilot28","05/10","3",1620710285717036,"7bed5cb1d6911cce9243412437cb7aa8",5,724,509,0,0,1,0,0,0,1,0,0,1,0,0.201111111111111
"152","pilot28","05/13","0",1620966005149006,"7bed5cb1d6911cce9243412437cb7aa8",6,659,20,0,0,1,0,0,0,NA,NA,NA,2,0.693147180559945,0.183055555555556
"153","pilot28","05/18","0",1.62141e+15,"7bed5cb1d6911cce9243412437cb7aa8",3,334,20,0,0,0,0,1,0,NA,NA,NA,2,0.693147180559945,0.0927777777777778
"154","pilot28","05/24","2",1621916882972005,"7bed5cb1d6911cce9243412437cb7aa8",11,426,49,0,1,3,0,1,0,NA,NA,NA,2,0.693147180559945,0.118333333333333
"155","pilot28","05/25","2",1621998568977003,"7bed5cb1d6911cce9243412437cb7aa8",8,544,49,0,1,3,0,0,0,NA,NA,NA,2,0.693147180559945,0.151111111111111
"156","pilot28","4/27","1",1619578159033015,"7bed5cb1d6911cce9243412437cb7aa8",19,1316,56,0,0,0,0,0,0,5,2,0,2.5,0.916290731874155,0.365555555555556
"157","pilot28","4/30","1",1619833545450028,"7bed5cb1d6911cce9243412437cb7aa8",5,440,52,0,0,0,0,0,0,1,0,0,2,0.693147180559945,0.122222222222222
"158","pilot29","05/01","1",1619866875115014,"77d422a4b88925c3a4ec3d430ad56536",2,767,92,0,5,7,0,0,0,2,0,4,2,0.693147180559945,0.213055555555556
"159","pilot29","05/02","1",1619947119636031,"77d422a4b88925c3a4ec3d430ad56536",2,373,12,0,1,7,0,0,0,1,0,0,3,1.09861228866811,0.103611111111111
"160","pilot29","05/03","1",1620088318019004,"77d422a4b88925c3a4ec3d430ad56536",5,271,20,0,1,2,0,0,0,0,0,0,4,1.38629436111989,0.0752777777777778
"161","pilot29","05/05","3",1.62028e+15,"77d422a4b88925c3a4ec3d430ad56536",3,629,37,0,0,3,0,0,0,3,0,0,2,0.693147180559945,0.174722222222222
"162","pilot29","05/06","3",1620350795091082,"77d422a4b88925c3a4ec3d430ad56536",8,1351,109,0,1,8,0,1,0,0,0,1,3,1.09861228866811,0.375277777777778
"163","pilot29","05/07","3",1620447817874011,"77d422a4b88925c3a4ec3d430ad56536",2,228,109,0,1,8,0,1,0,1,0,1,2,0.693147180559945,0.0633333333333333
"164","pilot29","05/09","3",1620614215362034,"77d422a4b88925c3a4ec3d430ad56536",4,315,83,0,1,2,0,0,0,1,0,0,2,0.693147180559945,0.0875
"165","pilot29","05/11","3",1.62078e+15,"77d422a4b88925c3a4ec3d430ad56536",4,531,46,0,1,4,0,0,0,1,0,0,4,1.38629436111989,0.1475
"166","pilot29","05/13","0",1620897944966174,"77d422a4b88925c3a4ec3d430ad56536",2,949,15,0,0,1,0,0,0,NA,NA,NA,4,1.38629436111989,0.263611111111111
