"","X","pid","date","condition","ts","uid","internal","external","feedname","feedname_general","ft","ftah","avgAttentionScore","fthrs","ftmin","ftahhrs","ftahmin","scrolledIntoOld"
"95",95,"p04","05/01",3,1619899315948014,"dad92316e8a7f99e68581ed055e0e4dc","1",1,"1386825824582656003","list",5,NA,3,0.00138888888888889,0.0833333333333333,NA,NA,"no"
"96",96,"p04","05/01",3,1619908048454058,"dad92316e8a7f99e68581ed055e0e4dc","1",1,"1386822178155470849","list",2,NA,3,0.000555555555555556,0.0333333333333333,NA,NA,"no"
"97",97,"p04","05/01",3,1619907951343037,"dad92316e8a7f99e68581ed055e0e4dc","1",1,"1386826810189619246","list",4,4,3,0.00111111111111111,0.0666666666666667,0.00111111111111111,0.0666666666666667,"yes"
"98",98,"p04","05/01",3,1.6199e+15,"dad92316e8a7f99e68581ed055e0e4dc","1",1,"1386823354670276610","list",14,8,3,0.00388888888888889,0.233333333333333,0.00222222222222222,0.133333333333333,"yes"
"99",99,"p04","05/01",3,1619899533531096,"dad92316e8a7f99e68581ed055e0e4dc","1",1,"1386823354670276610","list",3,NA,3,0.000833333333333333,0.05,NA,NA,"no"
"100",100,"p04","05/01",3,1619907449042003,"dad92316e8a7f99e68581ed055e0e4dc","1",1,"1386825824582656003","list",6,NA,3,0.00166666666666667,0.1,NA,NA,"no"
"101",101,"p04","05/01",3,1.61988e+15,"dad92316e8a7f99e68581ed055e0e4dc","1",1,"1386825824582656003","list",0,NA,3,0,0,NA,NA,"no"
"102",102,"p04","05/01",3,1619899710339144,"dad92316e8a7f99e68581ed055e0e4dc","1",1,"1386825824582656003","list",3,3,3,0.000833333333333333,0.05,0.000833333333333333,0.05,"yes"
"103",103,"p04","05/01",3,1619907928430027,"dad92316e8a7f99e68581ed055e0e4dc","1",1,"1386823965302300672","list",0,NA,3,0,0,NA,NA,"no"
"104",104,"p04","05/01",3,1619899327189023,"dad92316e8a7f99e68581ed055e0e4dc","1",1,"1386825824582656003","list",7,NA,3,0.00194444444444444,0.116666666666667,NA,NA,"no"
"105",105,"p04","05/01",3,1619899409088055,"dad92316e8a7f99e68581ed055e0e4dc","1",1,"1386825824582656003","list",0,NA,3,0,0,NA,NA,"no"
"106",106,"p04","05/01",3,1.6199e+15,"dad92316e8a7f99e68581ed055e0e4dc","1",1,"1386825824582656003","list",2,1,3,0.000555555555555556,0.0333333333333333,0.000277777777777778,0.0166666666666667,"yes"
"107",107,"p04","05/01",3,1619882097750006,"dad92316e8a7f99e68581ed055e0e4dc","1",1,"1386823354670276610","list",7,7,3,0.00194444444444444,0.116666666666667,0.00194444444444444,0.116666666666667,"yes"
"108",108,"p04","05/01",3,1619907959136042,"dad92316e8a7f99e68581ed055e0e4dc","1",1,"1386826810189619246","list",4,4,3,0.00111111111111111,0.0666666666666667,0.00111111111111111,0.0666666666666667,"yes"
"109",109,"p04","05/01",3,1.6199e+15,"dad92316e8a7f99e68581ed055e0e4dc","1",1,"1386825824582656003","list",13,NA,3,0.00361111111111111,0.216666666666667,NA,NA,"no"
"110",110,"p04","05/01",3,1619875794198019,"dad92316e8a7f99e68581ed055e0e4dc","1",1,"1386822178155470849","list",8,NA,3,0.00222222222222222,0.133333333333333,NA,NA,"no"
"111",111,"p04","05/01",3,1619908059627064,"dad92316e8a7f99e68581ed055e0e4dc","1",1,"1386822178155470849","list",0,NA,3,0,0,NA,NA,"no"
"112",112,"p04","05/01",3,1619875554145009,"dad92316e8a7f99e68581ed055e0e4dc","1",1,"1386822178155470849","list",0,NA,3,0,0,NA,NA,"no"
"113",113,"p04","05/01",3,1619899556472106,"dad92316e8a7f99e68581ed055e0e4dc","1",1,"1386822178155470849","list",12,NA,3,0.00333333333333333,0.2,NA,NA,"no"
"114",114,"p04","05/01",3,1619882100605009,"dad92316e8a7f99e68581ed055e0e4dc","1",1,"1386823965302300672","list",0,0,3,0,0,0,0,"yes"
"115",115,"p04","05/01",3,1619925736308012,"dad92316e8a7f99e68581ed055e0e4dc","1",1,"1386825824582656003","list",11,NA,3,0.00305555555555556,0.183333333333333,NA,NA,"no"
"116",116,"p04","05/01",3,1619925741662014,"dad92316e8a7f99e68581ed055e0e4dc","1",1,"1386823965302300672","list",3,3,3,0.000833333333333333,0.05,0.000833333333333333,0.05,"yes"
"117",117,"p04","05/01",3,1619899368047035,"dad92316e8a7f99e68581ed055e0e4dc","1",1,"1386825824582656003","list",17,NA,3,0.00472222222222222,0.283333333333333,NA,NA,"no"
"118",118,"p04","05/01",3,1619925737727013,"dad92316e8a7f99e68581ed055e0e4dc","1",1,"1386825824582656003","list",0,NA,3,0,0,NA,NA,"no"
"119",119,"p04","05/01",3,1619899606288124,"dad92316e8a7f99e68581ed055e0e4dc","1",1,"1386825824582656003","list",3,NA,3,0.000833333333333333,0.05,NA,NA,"no"
"120",120,"p04","05/01",3,1619925742480015,"dad92316e8a7f99e68581ed055e0e4dc","1",1,"1386826810189619246","list",0,NA,3,0,0,NA,NA,"no"
"121",121,"p04","05/01",3,1619899426238062,"dad92316e8a7f99e68581ed055e0e4dc","1",1,"1386826810189619246","list",8,NA,3,0.00222222222222222,0.133333333333333,NA,NA,"no"
"122",122,"p04","05/01",3,1619899576806112,"dad92316e8a7f99e68581ed055e0e4dc","1",1,"1386826810189619246","list",10,NA,3,0.00277777777777778,0.166666666666667,NA,NA,"no"
"123",123,"p04","05/01",3,1619900026557155,"dad92316e8a7f99e68581ed055e0e4dc","1",1,"1386825824582656003","list",13,NA,3,0.00361111111111111,0.216666666666667,NA,NA,"no"
"124",124,"p04","05/01",3,1619899566798111,"dad92316e8a7f99e68581ed055e0e4dc","1",1,"1386822178155470849","list",6,3,3,0.00166666666666667,0.1,0.000833333333333333,0.05,"yes"
"125",125,"p04","05/01",3,1.6199e+15,"dad92316e8a7f99e68581ed055e0e4dc","1",1,"1386823354670276610","list",2,NA,3,0.000555555555555556,0.0333333333333333,NA,NA,"no"
"126",126,"p04","05/01",3,1619875827107035,"dad92316e8a7f99e68581ed055e0e4dc","1",1,"1386826810189619246","list",0,NA,3,0,0,NA,NA,"no"
"127",127,"p04","05/01",3,1619899702063138,"dad92316e8a7f99e68581ed055e0e4dc","1",1,"1386825824582656003","list",1,1,3,0.000277777777777778,0.0166666666666667,0.000277777777777778,0.0166666666666667,"yes"
"128",128,"p04","05/01",3,1.6199e+15,"dad92316e8a7f99e68581ed055e0e4dc","1",1,"1386825824582656003","list",7,NA,3,0.00194444444444444,0.116666666666667,NA,NA,"no"
"129",129,"p04","05/01",3,1619907451422004,"dad92316e8a7f99e68581ed055e0e4dc","1",1,"1386825824582656003","list",0,NA,3,0,0,NA,NA,"no"
"130",130,"p04","05/01",3,1619907928991028,"dad92316e8a7f99e68581ed055e0e4dc","1",1,"1386826810189619246","list",0,0,3,0,0,0,0,"yes"
"131",131,"p04","05/01",3,1619907452568006,"dad92316e8a7f99e68581ed055e0e4dc","1",1,"1386825824582656003","list",0,NA,3,0,0,NA,NA,"no"
"132",132,"p04","05/01",3,1619907927723026,"dad92316e8a7f99e68581ed055e0e4dc","1",1,"1386825824582656003","list",1,1,3,0.000277777777777778,0.0166666666666667,0.000277777777777778,0.0166666666666667,"yes"
"133",133,"p04","05/01",3,1619875810264026,"dad92316e8a7f99e68581ed055e0e4dc","1",1,"1386826810189619246","list",2,NA,3,0.000555555555555556,0.0333333333333333,NA,NA,"no"
"134",134,"p04","05/01",3,1619925774210027,"dad92316e8a7f99e68581ed055e0e4dc","1",1,"1386823354670276610","list",6,NA,3,0.00166666666666667,0.1,NA,NA,"no"
